text,label_str,source,priority,label,weight
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",neutral,allagree,1,1,1.0
The acquisition of +landsbanken Sverige in 2009 burdened the performance with EUR 3.0 mn .,negative,75agree,2,0,0.7
"In 2009 , KONE had annual net sales of EUR 4.7 billion and approximately 34,000 employees .",neutral,75agree,2,1,0.7
"- Demand for fireplace products was lower than expected , especially in Germany .",negative,allagree,1,0,1.0
"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",neutral,75agree,2,1,0.7
HK Ruokatalo 's target is to know the consumers .,neutral,allagree,1,1,1.0
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",negative,allagree,1,0,1.0
The purchase sum is about EUR 10mn US$ 12.97 mn .,neutral,allagree,1,1,1.0
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral,allagree,1,1,1.0
"The second company acquired is Sweden 's Reftele Maskinservice AB , whose business is mainly field services and spare parts manufacturing , with 10 employees and 1.2 mln eur sales a year .",neutral,75agree,2,1,0.7
"Nokia OYJ 's production site at Bochum , Germany , posted profit before interest of 134 mln eur for 2007 , Capital reported in an excerpt of an article to be released tomorrow , citing internal documents .",neutral,75agree,2,1,0.7
KONE is listed on the Nordic Exchange in Helsinki .,neutral,allagree,1,1,1.0
"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",neutral,allagree,1,1,1.0
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive,allagree,1,2,1.0
"The value of the deal exceeds EUR500 ,000 , the company said .",neutral,75agree,2,1,0.7
Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.,neutral,75agree,2,1,0.7
"The world of glass is coming to Egypt and we invite Visitors from all around the world to attend Glass World Exhibition 2009 , Register Now at www.glassworldex.com",neutral,75agree,2,1,0.7
The divested stake represented about 2.7 m shares in Okmetic 's capital .,neutral,allagree,1,1,1.0
The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .,neutral,allagree,1,1,1.0
"The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications .",neutral,allagree,1,1,1.0
"At the end of the review period , Nordic Aluminium 's order book stood at EUR 8.77 mn compared to EUR 7.04 in 2005 .",positive,allagree,1,2,1.0
"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 .",positive,allagree,1,2,1.0
"H+kan Dahlstr+m , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014 .",positive,allagree,1,2,1.0
"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",positive,75agree,2,2,0.7
"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",neutral,allagree,1,1,1.0
"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",neutral,75agree,2,1,0.7
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",neutral,allagree,1,1,1.0
Almost the entire office building will be occupied by Metso .,neutral,allagree,1,1,1.0
Residents access to the block is planned to be from Aleksandri Street .,neutral,allagree,1,1,1.0
"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",positive,75agree,2,2,0.7
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,negative,allagree,1,0,1.0
"Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout .",positive,75agree,2,2,0.7
The EA Reng group posted sales of approximately 84 million kroons for 2007 .,neutral,allagree,1,1,1.0
The acquisition price was not disclosed .,neutral,allagree,1,1,1.0
"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .",neutral,allagree,1,1,1.0
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,allagree,1,2,1.0
"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) .",neutral,75agree,2,1,0.7
"Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan .",positive,75agree,2,2,0.7
Acquisitions have been made and businesses have been well integrated .,positive,75agree,2,2,0.7
"Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .",neutral,allagree,1,1,1.0
"Upon establishment , the plan is directed to approximately 20 persons .",neutral,allagree,1,1,1.0
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,negative,allagree,1,0,1.0
Operating profit improved by 16.7 % to EUR 7.7 mn .,positive,allagree,1,2,1.0
"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",negative,75agree,2,0,0.7
"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .",positive,75agree,2,2,0.7
"France T+l+com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said .",neutral,allagree,1,1,1.0
"ALEXANDRIA , Va. , March 20 -- Patrik Flykt and Timo Alakoski , both of Helsinki , Finland , and Tapio Suihko and Nadarajah Asokan , both of Espoo , Finland , have developed a method of mobility support of Internet-type protocol traffic in a communication system .",neutral,75agree,2,1,0.7
"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",negative,75agree,2,0,0.7
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,allagree,1,2,1.0
Why put up costly cell phone towers in thinly populated areas when a few balloons would do ?,neutral,75agree,2,1,0.7
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .,negative,allagree,1,0,1.0
"The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania .",neutral,allagree,1,1,1.0
"---------------------------------------------------------------------- -------------- Munich , 14 January 2008 : BAVARIA Industriekapital AG closed the acquisition of Elcoteq Communications Technology GmbH in Offenburg , Germany , with the approval of the",neutral,75agree,2,1,0.7
"NAVTEQ has a commanding lead in installed map data systems in North American vehicles and may be the leader in turn-by-turn navigation data offered by services such as OnStar in North America , said analyst Phil Magney of Telematics Research Group in Minnetonka , Minn. .",positive,75agree,2,2,0.7
"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",neutral,75agree,2,1,0.7
Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .,negative,75agree,2,0,0.7
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,allagree,1,1,1.0
`` Consumers have very well received our packed fresh meat .,positive,75agree,2,2,0.7
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,allagree,1,2,1.0
"He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products .",neutral,75agree,2,1,0.7
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral,75agree,2,1,0.7
The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live .,neutral,allagree,1,1,1.0
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,75agree,2,1,0.7
"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .",positive,75agree,2,2,0.7
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",neutral,allagree,1,1,1.0
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,neutral,75agree,2,1,0.7
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,negative,allagree,1,0,1.0
Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production .,neutral,75agree,2,1,0.7
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .",positive,allagree,1,2,1.0
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",neutral,allagree,1,1,1.0
Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,neutral,allagree,1,1,1.0
"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",positive,75agree,2,2,0.7
J+rvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,neutral,75agree,2,1,0.7
"These new units will be built at Cargotec 's state of the art manufacturing facility in San Antonio , Texas , USA , which started operations in 2009 .",neutral,allagree,1,1,1.0
"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral,allagree,1,1,1.0
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .",positive,75agree,2,2,0.7
Also Lemmink+inen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,positive,75agree,2,2,0.7
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,negative,allagree,1,0,1.0
Production at the plant will be based on Neste Oil 's proprietary technology that can use a flexible input of any vegetable oil or animal fat .,neutral,75agree,2,1,0.7
The insurance division turned a EUR120m profit .,neutral,75agree,2,1,0.7
The company had hoped the new plant would be on stream by the end of 2008 .,neutral,75agree,2,1,0.7
Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia .,neutral,allagree,1,1,1.0
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,allagree,1,1,1.0
Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .,positive,75agree,2,2,0.7
Teleste BK Optiflex amplifier products will be used in ongoing capacity upgrade of KDG 's network to bi-directionality .,neutral,75agree,2,1,0.7
Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .,neutral,75agree,2,1,0.7
The Remote Radio head module will be available at 4W power for 2.5 GHz and 3.5 GHz TDD frequency bands .,neutral,75agree,2,1,0.7
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,positive,75agree,2,2,0.7
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",negative,75agree,2,0,0.7
Scanfil expects net sales in 2008 to remain at the 2007 level .,neutral,75agree,2,1,0.7
"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic .",neutral,allagree,1,1,1.0
"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .",positive,allagree,1,2,1.0
The employee negotiations are to address measures needed to adjust the operations to the present production situation .,neutral,allagree,1,1,1.0
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,allagree,1,1,1.0
"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .",positive,75agree,2,2,0.7
"The mill will have capacity to produce 500,000 tonnes of pulp per year .",neutral,allagree,1,1,1.0
"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",neutral,allagree,1,1,1.0
Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,neutral,75agree,2,1,0.7
The company also said that it will sell approximately 150 hectares of land to the city of Valkeakoski by the end of the year a part of its `` From job to job '' program .,neutral,75agree,2,1,0.7
The writing and publication of Lemmink+inen - s history is a continuation of earlier collaboration between Antti Tuuri and the company .,neutral,allagree,1,1,1.0
"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",neutral,75agree,2,1,0.7
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,negative,allagree,1,0,1.0
"It would be premature to talk about dates , volume and the investment procedure , '' he said .",neutral,75agree,2,1,0.7
The use case dramatically narrows if you go only with the hot s Ltd.,neutral,75agree,2,1,0.7
"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",neutral,allagree,1,1,1.0
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",positive,allagree,1,2,1.0
All are welcome .,neutral,75agree,2,1,0.7
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .,neutral,allagree,1,1,1.0
The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .,neutral,allagree,1,1,1.0
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",positive,allagree,1,2,1.0
The value of the deal was not disclosed .,neutral,allagree,1,1,1.0
"`` We are delighted to welcome Elisa to our Board of Directors , '' said Garry McGuire , CEO of RMG Networks .",positive,75agree,2,2,0.7
"Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .",positive,75agree,2,2,0.7
`` Demand for sports equipment was good in 2005 .,positive,allagree,1,2,1.0
"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?",neutral,allagree,1,1,1.0
The Group 's cash flow from operations will be positive .,positive,75agree,2,2,0.7
NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation wins EUR50m equipment order in Australia - 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has received a EUR50m equipment order in Australia .,positive,75agree,2,2,0.7
"In 2007 , Etteplan had turnover of EUR125 .2 m.",neutral,allagree,1,1,1.0
Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,negative,75agree,2,0,0.7
It will focus on improving its profitability next year by streamlining operations .,positive,75agree,2,2,0.7
"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",positive,allagree,1,2,1.0
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,negative,allagree,1,0,1.0
"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m .",neutral,allagree,1,1,1.0
The company admits that 36 months is a relatively short time when operating in Russia .,neutral,75agree,2,1,0.7
The company continued the development of a fully human antibody in its VAP-1 antibody program .,neutral,allagree,1,1,1.0
The value of the orders is about EUR 25mn .,neutral,allagree,1,1,1.0
HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant .,positive,allagree,1,2,1.0
Talentum 's net sales in September were smaller than expected .,negative,allagree,1,0,1.0
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .",neutral,allagree,1,1,1.0
"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",neutral,allagree,1,1,1.0
The arrangements do not apply to the group 's units outside Finland .,neutral,allagree,1,1,1.0
1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,positive,allagree,1,2,1.0
It is a disappointment to see the plan folded .,negative,75agree,2,0,0.7
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",positive,75agree,2,2,0.7
"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .",neutral,allagree,1,1,1.0
"The Finland-based company says it will move into an existing 260,000-square-foot facility in September .",neutral,75agree,2,1,0.7
"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+nnen Tehtaat 's other businesses .",neutral,allagree,1,1,1.0
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",positive,allagree,1,2,1.0
The deal also includes a ten-year maintenance agreement .,neutral,75agree,2,1,0.7
Active shipping is essential for Finland .,neutral,75agree,2,1,0.7
"`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division .",neutral,allagree,1,1,1.0
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,neutral,allagree,1,1,1.0
It has been agreed with the company 's Board of Directors that she will be available in an advisory role .,neutral,75agree,2,1,0.7
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .",negative,allagree,1,0,1.0
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,allagree,1,2,1.0
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,allagree,1,0,1.0
"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",positive,75agree,2,2,0.7
Negotiations with representatives of the personnel regarding the restructuring process have now been ended .,neutral,allagree,1,1,1.0
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,75agree,2,1,0.7
Finnish Raute Precision has won large glass batch plant and mortar plant orders from Mexico and the US .,positive,75agree,2,2,0.7
"Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .",neutral,allagree,1,1,1.0
The value of the contract is about EUR 27mn .,neutral,allagree,1,1,1.0
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",negative,75agree,2,0,0.7
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,neutral,allagree,1,1,1.0
"In 2009 , it reported net sales of approximately EUR 6mn .",neutral,75agree,2,1,0.7
"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",neutral,75agree,2,1,0.7
The EUR17m contract includes both design and construction works .,neutral,allagree,1,1,1.0
"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely .",neutral,allagree,1,1,1.0
"The total investment in the company will be EUR58m , of which Wartsila 's share will be EUR29m .",neutral,75agree,2,1,0.7
"Neste Oil Corporation is a refining and marketing company concentrating on clean , high-quality traffic fuels .",neutral,75agree,2,1,0.7
"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",positive,75agree,2,2,0.7
The iPad application joins the iPhone app as part of Monster 's range of mobile applications for job hunting .,neutral,75agree,2,1,0.7
"Lule+ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",positive,75agree,2,2,0.7
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",positive,allagree,1,2,1.0
"Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 .",negative,allagree,1,0,1.0
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",positive,allagree,1,2,1.0
"As earlier reported , Nokian Tyres is building a plant in the town of Vsevolozhsk in Russia 's Leningrad Region with an annual production capacity of 4 million tires .",neutral,75agree,2,1,0.7
"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .",neutral,allagree,1,1,1.0
The contract value amounts to EUR 2.4 million .,neutral,allagree,1,1,1.0
Net sales of Finnish food industry company L+nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,allagree,1,2,1.0
The total investment in 2006 and 2007 is expected to amount to about EUR75m .,neutral,allagree,1,1,1.0
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .,neutral,allagree,1,1,1.0
"The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier .",neutral,allagree,1,1,1.0
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .,neutral,allagree,1,1,1.0
"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",neutral,75agree,2,1,0.7
The company expects its net sales for the whole 2009 to be at previous year levels .,neutral,75agree,2,1,0.7
"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .",positive,75agree,2,2,0.7
The contract includes heating plant equipment and associated installation work .,neutral,allagree,1,1,1.0
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,positive,allagree,1,2,1.0
"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .",neutral,allagree,1,1,1.0
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,75agree,2,1,0.7
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",neutral,allagree,1,1,1.0
"Swedbank Hypotek - Is to issue a benchmark , fixed rate covered deal in Euros , maturing January 2010 .",neutral,75agree,2,1,0.7
Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral,allagree,1,1,1.0
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",negative,allagree,1,0,1.0
A PLUMBING business has announced it is sponsoring a professional darts player .,neutral,allagree,1,1,1.0
The EPS improved to EUR0 .38 from EUR0 .27 .,positive,allagree,1,2,1.0
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,allagree,1,0,1.0
"Entire paper mills may be set up , especially in the new EU member states .",neutral,75agree,2,1,0.7
"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .",positive,allagree,1,2,1.0
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",negative,allagree,1,0,1.0
"Net sales by the Sata-Flexo Group came to some EUR4 .3 m in 2007 , and the group companies employed a total of 40 people .",neutral,75agree,2,1,0.7
